SNO,REGION,DISTRICT,VILLAGE,DATE_OF_OBSERVATION,DISEASE,SPECIE_AFFECTED,CASES,DEATH,NO_AT_RISK,TREATED,DESTROYED,SLAUGHTERED,VACCINATED,LAT,LONG,
38,Arusha,Arusha,Olasiti Ward - Arusha City Council,14-Aug-2018,Rabies,Canine,1,0,1104,0,0,0,0,-3.31943,36.63661,
39,Tanga,Muheza,mwera,16-Aug-2018,Rabies,Dog,3,0,69,0,4,0,50,-5.18507,38.78350,
40,Dodoma,Dodoma Urban,Mkekena,26-Aug-2018,Rabies,"Cattle,Dog",2,0,58,0,1,0,0,-6.13146,35.73680,
41,Kilimanjaro,Same,Majevu,13-Sep-2018,Rabies,Dog,1,0,314,0,1,0,0,-4.05848,37.75261,
42,Tanga,Kilindi,"Songe,kilindi Tanga",18-Sep-2018,Rabies,Dog,1,0,53,0,0,0,0,-5.57304,37.28960,
43,Dodoma,Kondoa,Masange,24-Sep-2018,Rabies,Dog,1,0,80,0,1,0,0,-4.90234,35.80144,
44,Singida,Iramba,Kyengege,5-Oct-2018,Rabies,Canine,1,1,1,0,0,0,0,-4.27981,34.41057,
45,Dar-es-salaam,Temeke,kimbiji(Golan),13-Nov-2018,Rabies,Canine,1,1,20,0,1,0,0,-7.00054,39.52284,
46,Mwanza,Ilemela,Ilemela mahakama,2-Jan-2019,Rabies,Canine,1,0,250,,1,0,0,-2.45332,32.91123,
47,Simiyu,Maswa,Nyalikungu,21-Jan-2019,Rabies,Dog,1,1,82,,1,0,17,-3.19492,33.78651,
48,Rukwa,Kalambo,Zyangoma village at Mwimbi ward,26-Jan-2019,Rabies,Cattle,2,2,250,,2,0,0,-8.30573,31.52719,
49,Kigoma,Kasulu Township Authority,Mwilamvya,19-Feb-2019,Rabies,Dog,1,0,1,,1,0,0,-4.55933,30.11134,
50,Morogoro,Kilombero,Malinyi,1-Apr-2019,Rabies,Dog,7,7,7000,,0,0,0,-8.25235,36.18677,
51,Tabora,Nzega,ipilili,7-Apr-2019,Rabies,Dog,1,1,0,,0,0,0,-4.21428,33.18038,
52,Tabora,Nzega,Kitongo B,7-Apr-2019,Rabies,Dog,1,1,0,,0,0,0,-4.21428,33.18038,
53,Tanga,Kilindi,vilindwa village kilindi Tanga,23-Apr-2019,Rabies,Dog,1,1,7,,1,0,0,-5.57270,37.28977,
54,Mbeya,Chunya,sinjilili,20-Jul-2019,Rabies,Dog,1,0,320,,1,0,241,-8.53660,33.42969,
55,Mbeya,Chunya,sinjilili,20-Jul-2019,Rabies,Dog,1,0,320,,1,0,241,-8.53660,33.42969,
56,Kilimanjaro,Siha,kishisha,24-Jul-2019,Rabies,Canine,1,1,2,,1,0,2,-3.15800,37.12472,
57,Ruvuma,Tunduru,Nangunguru,12-Aug-2019,Rabies,Dog,3,0,125,,0,0,0,-11.04830,37.34227,
58,Kigoma,Kibondo,Busunzu,16-Aug-2019,Rabies,Cattle,1,0,5,,0,0,0,-3.58182,30.71253,
59,Simiyu,Busega,Bulima,30-Aug-2019,Rabies,Dog,1,0,2,,0,0,0,-2.37226,33.57818,
